site,vlan_id,epg_name,segment,dhcp
site2,200,EPG_DEV_01,193.51.200.0/24,true
site2,201,EPG_DEV_02,193.51.201.0/24,false
site2,202,EPG_DEV_03,193.51.202.0/24,true
site2,203,EPG_DEV_04,193.51.203.0/24,false
site2,210,EPG_QA_01,193.51.210.0/24,true
site2,211,EPG_QA_02,193.51.211.0/24,false
site2,212,EPG_QA_03,193.51.212.0/24,true
site2,220,EPG_UAT_01,193.51.220.0/24,true
site2,221,EPG_UAT_02,193.51.221.0/24,false
site2,222,EPG_UAT_03,193.51.222.0/24,true
site3,300,EPG_DR_01,194.52.44.0/24,true
site3,301,EPG_DR_02,194.52.45.0/24,false
site3,302,EPG_DR_03,194.52.46.0/24,true
site3,310,EPG_BACKUP_01,194.52.54.0/24,true
site3,311,EPG_BACKUP_02,194.52.55.0/24,false
site3,312,EPG_BACKUP_03,194.52.56.0/24,true
site3,320,EPG_ARCHIVE_01,194.52.64.0/24,true
site3,321,EPG_ARCHIVE_02,194.52.65.0/24,false
site3,322,EPG_ARCHIVE_03,194.52.66.0/24,true
